vowels[0]='a'; ,EXPRESSION_STATEMENT, line no: 64,vowels[0]='a'; ,EXPRESSION_STATEMENT, line no: 64, 0.020375, insert, 1.0, 1.0, 1.0
vowels[1]='e'; ,EXPRESSION_STATEMENT, line no: 65,vowels[1]='e'; ,EXPRESSION_STATEMENT, line no: 65, 0.020375, insert, 1.0, 1.0, 1.0
vowels[2]='i'; ,EXPRESSION_STATEMENT, line no: 66,vowels[2]='i'; ,EXPRESSION_STATEMENT, line no: 66, 0.020375, insert, 1.0, 1.0, 1.0
vowels[3]='o'; ,EXPRESSION_STATEMENT, line no: 67,vowels[3]='o'; ,EXPRESSION_STATEMENT, line no: 67, 0.020375, insert, 1.0, 1.0, 1.0
vowels[4]='u'; ,EXPRESSION_STATEMENT, line no: 68,vowels[4]='u'; ,EXPRESSION_STATEMENT, line no: 68, 0.020375, insert, 1.0, 1.0, 1.0
vowels[5]='y'; ,EXPRESSION_STATEMENT, line no: 69,vowels[5]='y'; ,EXPRESSION_STATEMENT, line no: 69, 0.020375, insert, 1.0, 1.0, 1.0
k.value=0; ,EXPRESSION_STATEMENT, line no: 71,k.value=0; ,EXPRESSION_STATEMENT, line no: 71, 0.020375, insert, 1.0, 2.0, 1.0
j.value=0; ,EXPRESSION_STATEMENT, line no: 72,j.value=0; ,EXPRESSION_STATEMENT, line no: 72, 0.020375, insert, 1.0, 2.0, 1.0
syl.value=0; ,EXPRESSION_STATEMENT, line no: 73,syl.value=0; ,EXPRESSION_STATEMENT, line no: 73, 0.020375, insert, 1.0, 2.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 74, 0.020375, insert, 1.0, 1.0, 1.0
inputString=scanner.nextLine().toCharArray(); ,EXPRESSION_STATEMENT, line no: 75,inputString=scanner.nextLine().toCharArray(); ,EXPRESSION_STATEMENT, line no: 75, 0.020375, insert, 1.0, 2.0, 1.0
length.value=inputString.length; ,EXPRESSION_STATEMENT, line no: 76,length.value=inputString.length; ,EXPRESSION_STATEMENT, line no: 76, 0.020375, insert, 1.0, 3.0, 1.0
output+=(String.format("The number of syllables is %d." syl.value)); ,EXPRESSION_STATEMENT, line no: 86,output+=(String.format("The number of syllables is %d." syl.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.020375, insert, 1.0, 3.0, 1.0
k.value=0; ,EXPRESSION_STATEMENT, line no: 71,j.value=0; ,EXPRESSION_STATEMENT, line no: 72, 0.019263636363636365, insert, 1.0, 0.6666666666666666, 0.9090909090909091
